productId,name,description,category,fabricCollectionOptions,fabricColorOptions,pricingRules,options
2.5_inch_blind0,"2.5"" Faux Wood Blinds",Faux Wood Blinds,Blinds,"Bright White, Snow White, Antique White, Alabaster",,pricingRule001,
2_inch_blind0,"2"" Faux Wood Blinds",Faux Wood Blinds,Blinds,"Bright White, Snow White, Antique White, Alabaster",,pricingRule002,
2_inch_blind1,"2"" Faux Wood Blinds",Faux Wood Blinds,Blinds,"Embossed Birch, Embossed Maple, Embossed Cherry, Embossed Mahogany, Slate, Smoke",,pricingRule003,
2_inch_blind2,"2"" Faux Wood Blinds",Faux Wood Blinds,Blinds,"Oak, Pecan Chestnut, Mahogany",,pricingRule004,
composite_shutter0,Composite Shutters,Composite Shutters,Shutters,"Base White, Silk White, Creamy White",,pricingRule005,"options0, options1"
patio_shade0,Patio Shades,Patio Shades,Shades,"Aurora 3%, Aurora 5%","Grey/Bone, Charcoal/Bronze, White/Grey",pricingRule006,"options2, options3, options4, options5"
patio_shade1,Patio Shades,Patio Shades,Shades,"Maui 3%, Maui 5%","Black, Stucco, Carbon",pricingRule007,"options2, options3, options4, options6"
roller_shade0,Roller Shades,Roller Shades,Shades,"Proscreen 3%, Proscreen 5%","Glacier, Almond, Limestone, Pewter, Smoke, Stormcloud",pricingRule008,"options7, options8, options9, options10, options11, options12, options13, options14, options15, options16"
roller_shade1,Roller Shades,Roller Shades,Shades,"Ivory Light Filtering, Ivory Blackout","Saffron, Alabaster, Champagne, Terracotta, Truffle, Graphite",pricingRule009,"options7, options8, options9, options10, options11, options12, options13, options14, options15, options16"
roller_shade2,Roller Shades,Roller Shades,Shades,"Verona Light Filtering, Verona Blackout","Obsidian, Silverstone, Espresso, Caramel, Cinnamon, Cobblestone, Moonlight, Titanium, Satin, Shimmer, Sandstone, Buttercream",pricingRule010,"options7, options8, options9, options10, options11, options12, options13, options14, options15, options16"
natural_shade0,Natural Shades,Natural Shades,Shades,Sienna,Hills,pricingRule011,"options17, options18, options19, options20, options21, options22, options28, options29, options30, options34, options35, options23"
natural_shade1,Natural Shades,Natural Shades,Shades,Oslo,Frost,pricingRule012,"options17, options18, options19, options20, options21, options22, options28, options29, options30, options34, options35, options24"
natural_shade2,Natural Shades,Natural Shades,Shades,Dover,"Ivory Mist, Olive, Wheat",pricingRule013,"options17, options18, options19, options20, options21, options22, options28, options29, options30, options34, options35, options25, options31"
natural_shade3,Natural Shades,Natural Shades,Shades,Elysian,Fog,pricingRule013,"options17, options18, options19, options20, options21, options22, options28, options29, options30, options34, options35, options25, options31"
natural_shade4,Natural Shades,Natural Shades,Shades,Mesa,"Slate Gray, Storm",pricingRule013,"options17, options18, options19, options20, options21, options22, options28, options29, options30, options34, options35, options25, options31"
natural_shade5,Natural Shades,Natural Shades,Shades,Seaside,"Desert Dune, Goldenrod, Mocha",pricingRule013,"options17, options18, options19, options20, options21, options22, options28, options29, options30, options34, options35, options25, options31"
natural_shade6,Natural Shades,Natural Shades,Shades,Sudbury,"Charcoal, Fossil Gray",pricingRule013,"options17, options18, options19, options20, options21, options22, options28, options29, options30, options34, options35, options25, options31"
natural_shade7,Natural Shades,Natural Shades,Shades,Heights,Boulder,pricingRule014,"options17, options18, options19, options20, options21, options22, options28, options29, options30, options34, options35, options26, options32"
natural_shade8,Natural Shades,Natural Shades,Shades,Stonebrook,Vale,pricingRule014,"options17, options18, options19, options20, options21, options22, options28, options29, options30, options34, options35, options26, options32"
natural_shade9,Natural Shades,Natural Shades,Shades,Toulon,Stardust,pricingRule014,"options17, options18, options19, options20, options21, options22, options28, options29, options30, options34, options35, options26, options32"
natural_shade10,Natural Shades,Natural Shades,Shades,Valencia,"Platinum White, Taupe",pricingRule014,"options17, options18, options19, options20, options21, options22, options28, options29, options30, options34, options35, options26, options32"
natural_shade11,Natural Shades,Natural Shades,Shades,Hamilton,"Ash Gray, Pure White, Slate",pricingRule015,"options17, options18, options19, options20, options21, options22, options28, options29, options30, options34, options35, options27, options33"
natural_shade12,Natural Shades,Natural Shades,Shades,Kenzo,Ember,pricingRule015,"options17, options18, options19, options20, options21, options22, options28, options29, options30, options34, options35, options27, options33"
natural_shade13,Natural Shades,Natural Shades,Shades,Truro,"Chalk, Earl Gray, Honey, Oyster",pricingRule015,"options17, options18, options19, options20, options21, options22, options28, options29, options30, options34, options35, options27, options33"
natural_shade14,Natural Shades,Natural Shades,Shades,Vancouver,"Beige, Platinum White",pricingRule015,"options17, options18, options19, options20, options21, options22, options28, options29, options30, options34, options35, options27, options33"
roman_shade0,Roman Shades,Roman Shades,Shades,Fresco,"Tawnywood, Driftwood",pricingRule016,"options36, options37, options38, options39, options40, options41, options42, options43, options56, options57, options58, options59, options60, options61, options44, options50"
roman_shade1,Roman Shades,Roman Shades,Shades,Radiance,Goldenrod,pricingRule017,"options36, options37, options38, options39, options40, options41, options42, options43, options56, options57, options58, options59, options60, options61, options45, options51"
